# pairs_indfaints, pairs_indbrights
6612541,6612489
4872242,4872243
13615691,13615698
10343877,10343867
5041404,5041343
10632672,10632688
5466825,5466820
3502535,3502532
5102198,5102231
6333889,6333887
4407920,4407916
13682242,13682225
5315207,5315198
13706340,13706330
4372303,4377882
354505,354506
5574218,5574216
3602752,3602596
11765910,11765906
3805309,3805360
13957544,13957536
13952205,13952204
301114,301115
3963228,3963230
4737224,4737357
3892021,3892025
5475576,5475575
13760455,13760436
3753084,3752982
4673630,4673675
1259551,1259567
4520728,4520733
13818504,13818473
3750466,3750471
12365720,12365728
3888020,3888042
3052188,3052193
2696438,2696387
13723654,13723676
5949429,5949509
2625471,2625464
12097794,12097838
5665630,5665618
11172667,11172677
3878832,3878818
4487403,4487356
5876259,5876285
8197022,8197010
6379331,6378922
5595383,5595333
246470,246617
7334318,7334315
3717728,3717738
9524424,9524274
3483462,3483470
13823519,13823477
13773464,13773453
13599659,13599652
10178127,10178122
13779846,13778346
4769356,4769250
6477712,6477706
4526510,4527091
1717742,1717748
6429540,6429519
13536579,13536570
10786773,10786742
6846307,6846230
13889653,13889643
2166330,2166174
11458744,11459321
2356089,2355994
4407566,4407501
10052922,10052926
13637542,13637525
6463706,6463630
4156121,4156082
5173392,5173396
8141700,8141664
221118,221159
3845888,3845638
422121,422114
1778777,1778769
4831688,4831701
8120741,8120738
9162049,9162023
3824778,3824947
4116103,4116121
6084898,6084893
3719443,3719455
9360124,9360126
4894331,4894335
3848950,3848943
4993198,4993191
10346529,10346523
283278,283890
6602166,6603749
3297906,3297986
4819536,4819544
10072443,10072439
10673454,10673411
4180106,4180105
5948330,5948141
6053417,6053413
12456612,12456627
7699872,7699871
4948674,4948876
3345982,3345979
13153899,13153891
10130897,10130896
3431016,3431015
423810,423813
3585015,3585026
6525747,6525754
3624577,3624657
3677883,3677903
10566588,10566586
5083065,5083063
3387972,3387846
4666062,4666061
4911884,4911879
3970754,3970756
13879766,13882575
311788,312992
13266526,13266567
4464963,4464973
5654219,5654231
2244297,2244301
12588431,12588441
3631136,3631139
1792942,1792935
4491453,4491293
3706398,3706396
4917270,4917267
2052112,2052119
5605293,5605299
7385364,7385361
13988022,13989633
13924813,13924821
6349731,6349734
13131667,13131663
12592468,12592471
2201470,2201466
4954592,4954679
6289461,6289483
4113640,4113627
11472977,11472973
3657051,3656530
13673394,13673390
13830558,13830561
5514637,5514566
5563139,5563113
12282960,12282949
8223798,8223792
11678531,11678523
445573,445882
13730714,13731122
13633387,13633430
11389341,11389333
4754394,4753771
4619920,4619937
4603187,4603188
3945579,3945569
6098971,6098992
13758028,13758056
4553935,4468040
4132278,4132245
9727092,9727089
12266616,12260405
5396522,5396510
13689661,13689441
4660259,4660277
3617503,3617500
4236970,4236965
10846216,10846211
2712313,2712310
13640567,13640569
13875367,13875510
10516718,10516731
11559996,11560002
12580487,12580496
13395752,13395748
7331821,7331964
12680305,12680302
2834340,2834337
3832057,3832089
2602966,2602968
2019731,2019726
1986095,1986100
4425508,4425512
453292,453295
6262833,6262824
6290309,6290306
2707243,2707250
13583909,13583900
13871889,13872050
11800641,11800639
12431940,12431962
4648959,4648945
4220300,4220305
3419247,3419323
6528956,6528960
11454256,11454253
3249901,3249934
11738904,11738898
4307468,4307478
10555378,10555410
698135,698160
4054292,4054306
4861033,4861071
5446916,5446895
4739523,4739538
2692602,2692594
6643976,6643968
1763591,1763580
4957635,4958553
8003870,8003873
12839419,12839430
9978362,9978388
3686420,3686396
544276,544277
12564702,12564700
12075345,12075412
10230958,10230966
6947913,6947921
2158806,2158796
10062151,10062148
1318726,1318731
13685243,13685255
4961278,4961371
13822101,13822110
13975975,13976048
5651644,5651649
3235563,3235555
1152170,1152174
1717480,1717484
2709695,2709700
3726356,3726343
4168282,4168311
13979546,13975215
5390847,5390856
11800606,11800604
4412603,4412600
12168450,12168463
3867791,3867806
4128716,4128696
13857131,13857129
4421714,4421677
10162164,10162157
9127614,9127608
3881946,3881933
13166853,13166873
10529472,10529490
13623546,13623592
4703603,4703590
309293,309287
5195163,5195172
3193770,3193175
6178086,6178061
13641074,13641106
4820555,4820550
13729186,13729213
13870412,13870419
12649600,12649602
5730825,5730612
3758064,3758380
10943751,10943747
2195311,2195296
6237157,6237152
5703783,5703779
13633926,13634023
1768414,1768449
4807749,4807743
13760995,13765001
3739811,3740322
12797202,12797201
13830763,13830728
13200835,13200839
7929126,7929042
5816679,5816645
6477064,6477580
11879782,11879818
6453969,6453961
9747446,9747445
6524285,6524243
13745510,13745518
13283338,13283333
4562999,4564205
3566899,3566892
8261180,8261146
12498987,12499240
6202761,6202762
6137716,6137595
5689189,5689225
3788181,3788172
6366204,6366203
4728968,4728946
6093922,6092352
6028318,6029514
2237853,2237851
3715465,3716135
1613668,1613663
12147901,12148372
3563759,3563755
7271617,7271647
6379827,6379817
9452762,9452761
6300876,6300863
13863878,13863877
5551642,5551641
10281672,10282376
5554774,5554799
13924801,13924784
